,Id,Check_5,Check_3,Burnout_exh_1,Burnout_exh_2,Burnout_exh_3,Burnout_exh_4,Burnout_exh_5,Burnout_cyn_1,Burnout_cyn_2,Burnout_cyn_3,Burnout_cyn_4,Burnout_cyn_5,Burnout_eff_1,Burnout_eff_2,Burnout_eff_3,Burnout_eff_4,Burnout_eff_5,Burnout_eff_6,Burnout_eff_MEAN,Burnout_eff_1_REV,Burnout_eff_2_REV,Burnout_eff_3_REV,Burnout_eff_4_REV,Burnout_eff_5_REV,Burnout_eff_6_REV,Burnout_exh_MEAN,Burnout_cyn_MEAN,Burnout_ineff_MEAN,Work_overload,Safe_work_env,Safe_work_env_REV,Relation_supervisor_1,Relation_supervisor_2,Relation_supervisor_3,Relation_supervisor_4,Relation_supervisor_5,Relation_supervisor_6,Relation_supervisor_7,Relation_supervisor_8,Relation_supervisor_9,Relation_supervisor_10,Relation_supervisor_11,Relation_supervisor_MEAN,Relation_co_workers_IOS,Obj_supervisor_1,Obj_supervisor_2,Obj_supervisor_3,Obj_supervisor_4,Obj_supervisor_5,Obj_supervisor_6,Obj_supervisor_7,Obj_supervisor_8,Obj_supervisor_9,Obj_supervisor_7_REV,Obj_supervisor_8_REV,Obj_supervisor_9_REV,Obj_supervisor_MEAN,Obj_customer_1,Obj_customer_2,Obj_customer_3,Obj_customer_4,Obj_customer_5,Obj_customer_6,Obj_customer_7,Obj_customer_6_REV,Obj_customer_7_REV,Obj_costumer_MEAN,Bio_customer_1,Bio_customer_2,Bio_customer_3,Bio_customer_4,Bio_customer_5,Bio_customer_6,Bio_customer_7,Bio_customer_8,Bio_customer_7_REV,Bio_customer_8_REV,Bio_costumer_MEAN,Self_obj_object,Self_obj_thing,Self_obj_tool,Self_obj_number,Self_obj_machine,Self_obj_instrument,Self_obj_MEAN,Self_bio_virus,Self_bio_contagion,Self_bio_disease,Self_bio_infection,Self_bio_epidemic,Self_bio_MEAN,Sex,Age,Nationality,CLU4_1,QCL_4cl,filter_$
13,14.0,5.0,3.0,5.0,7.0,5.0,6.0,7.0,4.0,4.0,7.0,3.0,2.0,5.0,7.0,6.0,4.0,7.0,3.0,5.333333333333333,3.0,1.0,2.0,4.0,1.0,5.0,6.0,4.0,2.6666666666666665,80.0,10.0,90.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,3.1818181818181817,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,7.0,4.0,5.0,4.111111111111111,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0,4.0,1.0,4.0,7.0,5.875,7.0,7.0,5.0,7.0,7.0,5.0,6.333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,Female,51.0,Italiana,2.0,2.0,Selected
14,15.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,5.0,7.0,1.0,7.0,7.0,5.666666666666667,1.0,3.0,1.0,7.0,1.0,1.0,1.0,2.2,2.3333333333333335,59.0,50.0,50.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.1818181818181817,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,4.0,7.0,7.0,4.0,6.666666666666667,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,3.25,5.0,5.0,7.0,7.0,7.0,1.0,5.333333333333333,7.0,1.0,7.0,7.0,1.0,4.6,Female,58.0,Italiana,4.0,4.0,Selected
15,16.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,7.0,6.0,7.0,6.0,7.0,7.0,6.666666666666667,1.0,2.0,1.0,2.0,1.0,1.0,1.6,1.6,1.3333333333333333,40.0,30.0,70.0,1.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,3.1818181818181817,6.0,7.0,7.0,7.0,5.0,7.0,7.0,1.0,2.0,5.0,7.0,6.0,3.0,6.222222222222222,2.0,2.0,3.0,2.0,2.0,6.0,6.0,2.0,2.0,2.142857142857143,6.0,4.0,3.0,6.0,5.0,2.0,4.0,3.0,4.0,5.0,4.375,1.0,1.0,1.0,6.0,1.0,4.0,2.3333333333333335,2.0,2.0,2.0,2.0,2.0,2.0,Male,56.0,Italiana,4.0,4.0,Selected
16,17.0,5.0,3.0,4.0,6.0,3.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,7.0,5.0,6.5,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.4,1.5,90.0,60.0,40.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,3.4545454545454546,2.0,6.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,3.7777777777777777,5.0,6.0,3.0,5.0,2.0,5.0,6.0,3.0,2.0,3.7142857142857144,5.0,5.0,5.0,3.0,3.0,5.0,2.0,6.0,6.0,2.0,4.25,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Female,55.0,Italiana,4.0,4.0,Selected
17,18.0,5.0,3.0,1.0,7.0,6.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,7.0,7.0,4.0,7.0,5.0,5.833333333333333,3.0,1.0,1.0,4.0,1.0,3.0,3.2,4.2,2.1666666666666665,80.0,20.0,80.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.1818181818181817,2.0,1.0,1.0,7.0,2.0,3.0,3.0,2.0,2.0,4.0,6.0,6.0,4.0,3.6666666666666665,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.857142857142857,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,5.0,2.25,5.0,5.0,5.0,7.0,4.0,7.0,5.5,7.0,7.0,5.0,1.0,1.0,4.2,Male,49.0,Italia,3.0,3.0,Selected
18,19.0,5.0,3.0,5.0,5.0,7.0,1.0,2.0,2.0,5.0,7.0,1.0,1.0,7.0,7.0,7.0,4.0,7.0,6.0,6.333333333333333,1.0,1.0,1.0,4.0,1.0,2.0,4.0,3.2,1.6666666666666667,91.0,31.0,69.0,2.0,6.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,3.6363636363636362,7.0,4.0,7.0,7.0,7.0,7.0,7.0,1.0,6.0,5.0,7.0,2.0,3.0,5.666666666666667,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,4.142857142857143,4.0,6.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,4.125,7.0,4.0,6.0,7.0,6.0,6.0,6.0,4.0,4.0,3.0,2.0,2.0,3.0,Male,34.0,Italiano,1.0,3.0,Selected
19,20.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,2.2,1.0,70.0,10.0,90.0,5.0,6.0,7.0,7.0,5.0,7.0,7.0,5.0,6.0,7.0,5.0,6.090909090909091,7.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,7.0,4.0,3.0,1.0,1.8888888888888888,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,1.7142857142857142,5.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.875,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,40.0,Italia,4.0,4.0,Selected
20,21.0,5.0,3.0,7.0,6.0,1.0,2.0,5.0,6.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2,4.4,1.0,100.0,20.0,80.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.4545454545454546,5.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,7.0,3.0,7.0,1.0,2.4444444444444446,2.0,6.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,3.142857142857143,5.0,7.0,4.0,6.0,3.0,1.0,7.0,7.0,1.0,1.0,3.5,5.0,4.0,3.0,4.0,7.0,6.0,4.833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,Male,20.0,Italiana,3.0,3.0,Selected
21,22.0,5.0,3.0,3.0,4.0,6.0,4.0,2.0,3.0,3.0,7.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,4.666666666666667,3.0,3.0,3.0,4.0,4.0,3.0,3.8,3.2,3.3333333333333335,60.0,20.0,80.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,5.0,6.0,1.0,3.0,2.0,1.6666666666666667,6.0,6.0,7.0,6.0,3.0,3.0,4.0,5.0,4.0,5.285714285714286,4.0,6.0,3.0,2.0,4.0,2.0,1.0,2.0,7.0,6.0,4.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Male,27.0,Italiana,3.0,3.0,Selected
22,23.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,2.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.666666666666667,2.0,1.0,1.0,1.0,2.0,1.0,6.8,5.4,1.3333333333333333,60.0,41.0,59.0,5.0,3.0,5.0,6.0,4.0,4.0,1.0,5.0,1.0,3.0,2.0,3.5454545454545454,2.0,7.0,7.0,7.0,7.0,7.0,6.0,2.0,1.0,2.0,6.0,7.0,6.0,6.666666666666667,1.0,1.0,2.0,2.0,2.0,7.0,7.0,1.0,1.0,1.4285714285714286,3.0,2.0,1.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.375,3.0,3.0,4.0,3.0,2.0,4.0,3.1666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,Female,47.0,Italiana,,,Not Selected
23,24.0,5.0,3.0,2.0,6.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,2.0,1.0,1.0,3.0,3.0,2.0,3.6,3.0,2.0,100.0,41.0,59.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0909090909090908,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,6.0,3.0,7.0,2.0,3.888888888888889,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.5714285714285716,1.0,7.0,1.0,1.0,7.0,1.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,6.0,5.0,4.0,4.0,7.0,4.0,4.0,4.0,4.6,Female,50.0,Italiana,3.0,3.0,Selected
24,25.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,6.0,7.0,7.0,6.0,7.0,6.4,6.0,20.0,14.0,86.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0909090909090908,6.0,7.0,7.0,7.0,7.0,5.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,6.777777777777778,6.0,6.0,7.0,6.0,4.0,2.0,2.0,6.0,6.0,5.857142857142857,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,6.0,7.0,6.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.6,Male,36.0,Italiana,2.0,2.0,Selected
25,26.0,7.0,3.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,7.0,6.0,7.0,5.0,7.0,6.0,6.333333333333333,1.0,2.0,1.0,3.0,1.0,2.0,2.2,1.2,1.6666666666666667,50.0,2.0,98.0,3.0,6.0,6.0,4.0,1.0,4.0,6.0,4.0,1.0,4.0,3.0,3.8181818181818183,7.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,6.0,6.0,5.0,2.0,2.0,2.4444444444444446,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,37.0,Ita,,,Not Selected
26,27.0,5.0,3.0,7.0,7.0,5.0,7.0,7.0,5.0,5.0,1.0,3.0,3.0,5.0,7.0,6.0,3.0,7.0,7.0,5.833333333333333,3.0,1.0,2.0,5.0,1.0,1.0,6.6,3.4,2.1666666666666665,70.0,0.0,100.0,5.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,2.6363636363636362,3.0,7.0,7.0,5.0,5.0,6.0,6.0,5.0,1.0,3.0,3.0,7.0,5.0,5.666666666666667,2.0,4.0,1.0,2.0,1.0,6.0,4.0,2.0,4.0,2.2857142857142856,1.0,5.0,1.0,1.0,3.0,1.0,4.0,6.0,4.0,2.0,2.25,7.0,5.0,7.0,7.0,7.0,7.0,6.666666666666667,5.0,7.0,5.0,5.0,7.0,5.8,Female,53.0,Italiana,1.0,1.0,Selected
27,28.0,5.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,6.0,2.0,5.0,7.0,5.0,1.0,7.0,5.0,5.0,3.0,1.0,3.0,7.0,1.0,3.0,6.8,4.8,3.0,77.0,14.0,86.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.4545454545454546,6.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,3.0,7.0,7.0,5.0,6.777777777777778,7.0,7.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,5.428571428571429,5.0,6.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.25,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,Female,28.0,Italiana,2.0,2.0,Selected
28,29.0,5.0,4.0,6.0,7.0,6.0,7.0,7.0,3.0,1.0,4.0,1.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.666666666666667,2.0,1.0,1.0,2.0,1.0,1.0,6.6,3.0,1.3333333333333333,82.0,0.0,100.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,2.0,6.0,2.0,5.0,7.0,5.0,7.0,1.0,5.0,2.0,2.0,2.0,1.0,6.0,6.0,7.0,2.0,4.111111111111111,1.0,7.0,1.0,1.0,1.0,5.0,6.0,3.0,2.0,2.2857142857142856,7.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,2.375,4.0,3.0,1.0,6.0,5.0,6.0,4.166666666666667,1.0,6.0,1.0,1.0,1.0,2.0,Male,48.0,Italiana,,,Not Selected
